price/kg,price,product name,nutri-score,Valeur énergétique en kJ,Valeur énergétique en kCal,Matières grasses,Dont acides gras saturés,Glucides,Dont sucres,Protéines,Sel,category,subcategory,sub_sub_category,Fibres alimentaires,Sodium
"14,79€/kg","5,99",Cora fagots haricots verts lardes 405g,A,432.00 kJ,104.00 kcal,6.40 g,2.30 g,4.10 g,1.10 g,6.60 g,1.30 g,Surgelés,Légumes et fruits,Légumes,,
"4,47€/kg","2,68",Nature bio petits pois doux très fins bio 600g,A,247.80 kJ,59.10 kcal,0.90 g,0.20 g,5.50 g,3.00 g,5.00 g,0.01 g,Surgelés,Légumes et fruits,Légumes,4.50 g,
"2,86€/kg","2,86",Bonduelle haricots verts extra fins précuit vapeur 1kg,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"4,56€/kg","3,56","Bonduelle purée délice carotte, potiron, crème 780g",A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"4,54€/kg","3,54",Bonduelle purée 4 saveurs 780g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"4,56€/kg","3,56",Bonduelle purée délice vert 780g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,51€/kg","2,63",Mccain purée nature 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"5,56€/kg","2,78",Bonduelle haricots verts bio 100% français 500g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"5,59€/kg","4,19",Bonduelle poêlée méditerranéenne 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"4,20€/kg","1,89",Alnatura petits pois bio 450g,,340.00 kJ,81.00 kcal,0.80 g,0.20 g,10.00 g,4.30 g,5.90 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,5.00 g,
"2,77€/kg","2,77",D'aucy haricots verts extra fins 1kg,A,161.00 kJ,39.00 kcal,0.40 g,0.07 g,4.20 g,1.30 g,2.40 g,0.02 g,Surgelés,Légumes et fruits,Légumes,4.60 g,
"6,65€/kg","3,19",Findus épinards branches à la crème fraîche 480g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"7,78€/kg","3,89","Bonduelle légumes et céréales cuisinés patate douce, butternut 500g",A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,31€/kg","1,49",Alnaturna épinard à la crème bio 450g,,218.00 kJ,53.00 kcal,3.50 g,1.30 g,1.90 g,1.00 g,2.30 g,0.71 g,Surgelés,Légumes et fruits,Légumes,2.10 g,
"4,60€/kg","3,45",Bonduelle mélange 3 légumes brocolis carottes choux-fleurs 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
