magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/unity [€/u],price [€],nutri-score,Valeur énergétique [kJ],Valeur énergétique [kCal],Matières grasses [g],Dont acides gras saturés [g],Dont acides gras mono-insaturés [g],Glucides [g],Dont sucres [g],Protéines [g],Fibres alimentaires [g],Sel [g],Sodium [mg]
88,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,5.98,2.99,,,,,,,,,,,,
88,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,2.99,2.99,,,,,,,,,,,,
88,2563437,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE FEUILLE BIO 1KG,5.99,5.99,,,,,,,,,,,,
88,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,3.49,3.49,,,,,,,,,,,,
88,2466336,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
88,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
88,3060657,Fruits et légumes,Fruits et légumes bio,Fruits bio,POMELOS BIO FILET 2 FRUITS,3.98,1.99,,,,,,,,,,,,
88,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,2.99,2.99,,,,,,,,,,,,
88,2784444,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette bio filet 500g,6.98,3.49,,,,,,,,,,,,
88,2582112,Fruits et légumes,Fruits et légumes bio,Légumes bio,Concombre bio,1.99,1.99,,,,,,,,,,,,
88,2563449,Fruits et légumes,Fruits et légumes bio,Légumes bio,AVOCAT BIO BARQUETTE  2 FRUITS,4.99,4.99,,,,,,,,,,,,
88,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,7.07,1.59,,,,,,,,,,,,
88,2430630,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal Saveurs ail blanc bio 3 têtes,32.6,4.89,,,,,,,,,,,,
88,90620,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal saveur échalote traditionnel bio filet 250g,9.96,2.49,,,,,,,,,,,,
88,3022845,Fruits et légumes,Fruits et légumes bio,Légumes bio,POIREAU BIO BOTTE 750G,5.32,3.99,,,,,,,,,,,,
88,2784231,Fruits et légumes,Fruits et légumes bio,Légumes bio,CAROTTE BIO SACHET 1.5 KG,2.66,3.99,,,,,,,,,,,,
88,2582118,Fruits et légumes,Fruits et légumes bio,Légumes bio,Concombre bio,1.99,1.99,,,,,,,,,,,,
88,2574453,Fruits et légumes,Fruits et légumes bio,Légumes bio,Boulgour bio sachet 500g,7.98,3.99,,,,,,,,,,,,
88,2565138,Fruits et légumes,Fruits et légumes bio,Légumes bio,Lentilles noires beluga bio sachet 500 g,10.98,5.49,,,,,,,,,,,,
88,2450733,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio filet 500g,5.98,2.99,,,,,,,,,,,,
88,45785,Fruits et légumes,Fruits frais,Fruits de saison,Banane Cavendish,1.09,0.44,,,,,,,,,,,,
88,25982,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos,0.79,0.79,,,,,,,,,,,,
88,123160,Fruits et légumes,Fruits frais,Fruits de saison,Banane cora ruban 6 fruits,2.49,2.49,,,,,,,,,,,,
88,15866,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange à jus 2kg,1.25,2.49,,,,,,,,,,,,
88,15873,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune cora 4 fruits,2.98,1.49,,,,,,,,,,,,
88,18003,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster cora 2kg,1.25,2.49,,,,,,,,,,,,
88,15890,Fruits et légumes,Fruits frais,Fruits de saison,Cora Kido petits agrumes 1kg,3.49,3.49,,,,,,,,,,,,
88,15892,Fruits et légumes,Fruits frais,Fruits de saison,"Cora pomme golden AOP limousin en panier de bois 1,5 kg",2.66,3.99,,,,,,,,,,,,
88,23568,Fruits et légumes,Fruits frais,Fruits de saison,Cora pomme golden du Limousin face rosée barquette de 4 fruits,3.69,3.69,,,,,,,,,,,,
88,15884,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange sachet 1kg,3.84,3.84,,,,,,,,,,,,
88,302698,Fruits et légumes,Fruits frais,Fruits de saison,Cora dégustation kiwi barquette de 4 fruits,4.39,4.39,,,,,,,,,,,,
88,68309,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi gold,0.99,0.99,,,,,,,,,,,,
88,49291,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala,1.99,0.64,,,,,,,,,,,,
88,25981,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi vert vrac,0.99,0.99,,,,,,,,,,,,
88,2603271,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune,2.99,1.08,,,,,,,,,,,,
88,301759,Fruits et légumes,Fruits frais,Fruits de saison,Citron vert VRAC,4.99,0.5,,,,,,,,,,,,
88,49361,Fruits et légumes,Fruits frais,Fruits de saison,Pomme golden le kilo,2.99,1.05,,,,,,,,,,,,
88,50014,Fruits et légumes,Fruits frais,Fruits de saison,Poire Rochas,3.99,0.5,,,,,,,,,,,,
88,944929,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster,2.99,2.15,,,,,,,,,,,,
88,49293,Fruits et légumes,Fruits frais,Fruits de saison,Pomme pink lady,2.99,1.05,,,,,,,,,,,,
88,2822511,Fruits et légumes,Fruits frais,Fruits de saison,Clémentine maroc,1.99,0.56,,,,,,,,,,,,
88,102092,Fruits et légumes,Fruits frais,Fruits de saison,Pomme granny,2.99,0.96,,,,,,,,,,,,
88,49295,Fruits et légumes,Fruits frais,Fruits de saison,Pomme fuji,2.99,0.64,,,,,,,,,,,,
88,143959,Fruits et légumes,Fruits frais,Fruits de saison,Pomme elstar,2.99,0.99,,,,,,,,,,,,
88,548401,Fruits et légumes,Fruits frais,Fruits de saison,Mandarine Clémenvilla,1.79,1.22,,,,,,,,,,,,
88,982534,Fruits et légumes,Fruits frais,Fruits de saison,Pomme bio barquette 4 fruits,5.98,2.99,,,,,,,,,,,,
88,1139038,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune filet 500g,1.98,0.99,,,,,,,,,,,,
88,911245,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Antares,1.99,0.3,,,,,,,,,,,,
88,1349011,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala sachet 1.5kg,1.99,2.99,,,,,,,,,,,,
88,960490,Fruits et légumes,Fruits frais,Fruits de saison,Pomme bio golden barquette 4 fruits,2.99,2.99,,,,,,,,,,,,
88,1128643,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi barquette 1 kg,2.99,2.99,,,,,,,,,,,,
88,486967,Fruits et légumes,Fruits frais,Fruits de saison,Banane francite 5 fruits,2.45,2.45,,,,,,,,,,,,
88,486964,Fruits et légumes,Fruits frais,Fruits de saison,Banane francite antilles 6 fruits,2.95,2.95,,,,,,,,,,,,
88,486961,Fruits et légumes,Fruits frais,Fruits de saison,Banane Antilles 4 fruits,0.49,1.95,,,,,,,,,,,,
88,944197,Fruits et légumes,Fruits frais,Fruits de saison,Orange bio a déguster 800g,3.49,3.49,,,,,,,,,,,,
88,49298,Fruits et légumes,Fruits frais,Fruits de saison,Pomme honey crunch,2.99,0.72,,,,,,,,,,,,
88,101171,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Ariane,2.99,0.55,,,,,,,,,,,,
88,2600880,Fruits et légumes,Fruits frais,Fruits de saison,Poire Conférence,3.99,1.72,,,,,,,,,,,,
88,1220023,Fruits et légumes,Fruits frais,Fruits de saison,Orange Portugal,3.69,2.58,,,,,,,,,,,,
88,1242556,Fruits et légumes,Fruits frais,Fruits de saison,Poire sweet sensation le kilo,3.99,1.44,,,,,,,,,,,,
88,750853,Fruits et légumes,Fruits frais,Fruits de saison,Pomme skyfresh,2.99,1.64,,,,,,,,,,,,
88,1140391,Fruits et légumes,Fruits frais,Fruits de saison,Poire rochas barquette 4 fruits stickés,2.49,2.49,,,,,,,,,,,,
88,486958,Fruits et légumes,Fruits frais,Fruits de saison,Banane francite 3 fruits,1.5,1.5,,,,,,,,,,,,
88,49297,Fruits et légumes,Fruits frais,Fruits de saison,Pomme canada grise,2.99,0.6,,,,,,,,,,,,
88,45787,Fruits et légumes,Fruits frais,Fruits de saison,Pomme boscoop,2.99,1.2,,,,,,,,,,,,
88,115044,Fruits et légumes,Fruits frais,Fruits de saison,Poire comice,2.99,0.48,,,,,,,,,,,,
88,25982,Fruits et légumes,Fruits frais,Oranges et agrumes,Pomelos,0.79,0.79,,,,,,,,,,,,
88,2603271,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune,2.99,1.08,,,,,,,,,,,,
88,15866,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora orange à jus 2kg,1.25,2.49,,,,,,,,,,,,
88,15873,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune cora 4 fruits,2.98,1.49,,,,,,,,,,,,
88,18003,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange à déguster cora 2kg,1.25,2.49,,,,,,,,,,,,
88,2861457,Fruits et légumes,Fruits frais,Oranges et agrumes,CLEMENTINE CORA PITUFO 2.3KG,1.73,3.99,,,,,,,,,,,,
88,15890,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora Kido petits agrumes 1kg,3.49,3.49,,,,,,,,,,,,
88,15884,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora orange sachet 1kg,3.84,3.84,,,,,,,,,,,,
88,944929,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange à déguster,2.99,2.15,,,,,,,,,,,,
88,2822511,Fruits et légumes,Fruits frais,Oranges et agrumes,Clémentine maroc,1.99,0.56,,,,,,,,,,,,
88,548401,Fruits et légumes,Fruits frais,Oranges et agrumes,Mandarine Clémenvilla,1.79,1.22,,,,,,,,,,,,
88,1139038,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune filet 500g,1.98,0.99,,,,,,,,,,,,
