magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/unity [€/u],price [€],nutri-score,Valeur énergétique [kJ],Valeur énergétique [kCal],Matières grasses [g],Dont acides gras saturés [g],Dont acides gras mono-insaturés [g],Glucides [g],Dont sucres [g],Protéines [g],Fibres alimentaires [g],Sel [g],Sodium [mg]
79,1125496,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron bio Primofiori,3.69,0.81,,,,,,,,,,,,
79,1125592,Fruits et légumes,Fruits et légumes bio,Fruits bio,Clementine bio nules le kilo,3.69,0.66,,,,,,,,,,,,
79,2320356,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme gala bio,3.99,0.8,,,,,,,,,,,,
79,2320362,Fruits et légumes,Fruits et légumes bio,Fruits bio,Patate douce bio le kilo,2.89,2.31,,,,,,,,,,,,
79,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,6.58,3.29,,,,,,,,,,,,
79,1125595,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange a bouche bio le kilo,3.29,1.97,,,,,,,,,,,,
79,1125670,Fruits et légumes,Fruits et légumes bio,Fruits bio,Clementine feuille bio,5.49,0.55,,,,,,,,,,,,
79,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,3.29,3.29,,,,,,,,,,,,
79,1125691,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme golden aop bio le kilo,3.99,0.8,,,,,,,,,,,,
79,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,3.49,3.49,,,,,,,,,,,,
79,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
79,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,3.99,3.99,,,,,,,,,,,,
79,960493,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme granny bio barquette 4 fruits,7.48,2.99,,,,,,,,,,,,
79,3062565,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio sachet 1.5 kg,2.46,3.69,,,,,,,,,,,,
79,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,3.69,3.69,,,,,,,,,,,,
79,3060657,Fruits et légumes,Fruits et légumes bio,Fruits bio,POMELOS BIO FILET 2 FRUITS,3.98,1.99,,,,,,,,,,,,
79,3062316,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio barquette 6 fruits,3.99,3.99,,,,,,,,,,,,
79,2641419,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme canada bio,3.99,0.72,,,,,,,,,,,,
79,3076368,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI VERT BIO BARQUETTE 4 FRUITS,13.3,3.99,,,,,,,,,,,,
79,937480,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron jaune bio 4 fruits,4.98,2.49,,,,,,,,,,,,
79,2574774,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange salustiana bio filet 1 kg,2.99,2.99,,,,,,,,,,,,
79,1125565,Fruits et légumes,Fruits et légumes bio,Légumes bio,Carotte bio le kilo,2.69,0.27,,,,,,,,,,,,
79,2566395,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio le kilo,4.99,0.8,,,,,,,,,,,,
79,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,3.78,1.89,,,,,,,,,,,,
79,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,7.51,1.69,,,,,,,,,,,,
79,1125580,Fruits et légumes,Fruits et légumes bio,Légumes bio,Aubergine bio le kilo,4.99,1.6,,,,,,,,,,,,
79,2450733,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio filet 500g,6.58,3.29,,,,,,,,,,,,
79,2784444,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette bio filet 500g,7.38,3.69,,,,,,,,,,,,
79,3089883,Fruits et légumes,Fruits et légumes bio,Légumes bio,POMMES DE TERRE BIO DITTA 1.5KG,2.99,4.49,,,,,,,,,,,,
79,2784231,Fruits et légumes,Fruits et légumes bio,Légumes bio,CAROTTE BIO SACHET 1.5 KG,2.66,3.99,,,,,,,,,,,,
79,2563434,Fruits et légumes,Fruits et légumes bio,Légumes bio,COURGE POTIMARRON ORANGE BIO,2.69,2.69,,,,,,,,,,,,
79,2565138,Fruits et légumes,Fruits et légumes bio,Légumes bio,Lentilles noires beluga bio sachet 500 g,11.18,5.59,,,,,,,,,,,,
79,2563461,Fruits et légumes,Fruits et légumes bio,Légumes bio,COURGE BUTTERNUT BIO,2.69,2.69,,,,,,,,,,,,
79,2582118,Fruits et légumes,Fruits et légumes bio,Légumes bio,Concombre bio,1.99,1.99,,,,,,,,,,,,
79,2574453,Fruits et légumes,Fruits et légumes bio,Légumes bio,Boulgour bio sachet 500g,7.98,3.99,,,,,,,,,,,,
79,2563449,Fruits et légumes,Fruits et légumes bio,Légumes bio,AVOCAT BIO BARQUETTE  2 FRUITS,4.99,4.99,,,,,,,,,,,,
79,1125568,Fruits et légumes,Fruits et légumes bio,Légumes bio,Poireau bio le kilo,3.99,0.8,,,,,,,,,,,,
79,1022743,Fruits et légumes,Fruits et légumes bio,Légumes bio,Mais bio doux barquette 2 épis,9.73,3.89,,,,,,,,,,,,
79,45785,Fruits et légumes,Fruits frais,Fruits de saison,Banane Cavendish,1.09,0.6,,,,,,,,,,,,
79,25982,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos,0.79,0.79,,,,,,,,,,,,
79,123160,Fruits et légumes,Fruits frais,Fruits de saison,Banane cora ruban 6 fruits,2.49,2.49,,,,,,,,,,,,
79,18003,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster cora 2kg,1.25,2.49,,,,,,,,,,,,
79,15873,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune cora 4 fruits,2.98,1.49,,,,,,,,,,,,
79,15866,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange à jus 2kg,1.25,2.49,,,,,,,,,,,,
79,15890,Fruits et légumes,Fruits frais,Fruits de saison,Cora Kido petits agrumes 1kg,3.69,3.69,,,,,,,,,,,,
79,15892,Fruits et légumes,Fruits frais,Fruits de saison,"Cora pomme golden AOP limousin en panier de bois 1,5 kg",2.66,3.99,,,,,,,,,,,,
79,15884,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange sachet 1kg,3.49,3.49,,,,,,,,,,,,
79,302698,Fruits et légumes,Fruits frais,Fruits de saison,Cora dégustation kiwi barquette de 4 fruits,3.99,3.99,,,,,,,,,,,,
79,25981,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi vert vrac,0.8,0.8,,,,,,,,,,,,
79,2603271,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune,2.99,0.6,,,,,,,,,,,,
79,49293,Fruits et légumes,Fruits frais,Fruits de saison,Pomme pink lady,3.69,0.74,,,,,,,,,,,,
79,2600880,Fruits et légumes,Fruits frais,Fruits de saison,Poire Conférence,3.99,1.0,,,,,,,,,,,,
79,49291,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala,2.49,0.5,,,,,,,,,,,,
79,68309,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi gold,1.29,1.29,,,,,,,,,,,,
79,49361,Fruits et légumes,Fruits frais,Fruits de saison,Pomme golden le kilo,3.29,0.66,,,,,,,,,,,,
79,2822511,Fruits et légumes,Fruits frais,Fruits de saison,Clémentine maroc,2.99,1.02,,,,,,,,,,,,
79,301759,Fruits et légumes,Fruits frais,Fruits de saison,Citron vert VRAC,3.99,0.48,,,,,,,,,,,,
