magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/unity [€/u],price [€],nutri-score,Valeur énergétique [kJ],Valeur énergétique [kCal],Matières grasses [g],Dont acides gras saturés [g],Dont acides gras mono-insaturés [g],Glucides [g],Dont sucres [g],Protéines [g],Fibres alimentaires [g],Sel [g],Sodium [mg]
91,1125496,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron bio Primofiori,3.99,0.48,,,,,,,,,,,,
91,683551,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio,2.69,2.96,,,,,,,,,,,,
91,1125670,Fruits et légumes,Fruits et légumes bio,Fruits bio,Clementine feuille bio,4.99,0.35,,,,,,,,,,,,
91,2320362,Fruits et légumes,Fruits et légumes bio,Fruits bio,Patate douce bio le kilo,2.99,0.75,,,,,,,,,,,,
91,2320356,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme gala bio,3.99,0.8,,,,,,,,,,,,
91,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,6.58,3.29,,,,,,,,,,,,
91,1125595,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange a bouche bio le kilo,3.99,1.14,,,,,,,,,,,,
91,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
91,960493,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme granny bio barquette 4 fruits,8.23,3.29,,,,,,,,,,,,
91,1125691,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme golden aop bio le kilo,3.99,0.48,,,,,,,,,,,,
91,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,3.49,3.49,,,,,,,,,,,,
91,1371598,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme golden bio 4 fruits,3.29,3.29,,,,,,,,,,,,
91,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,3.49,3.49,,,,,,,,,,,,
91,3062565,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio sachet 1.5 kg,2.66,3.99,,,,,,,,,,,,
91,2360265,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron primofiori bio filet 1kg,3.99,3.99,,,,,,,,,,,,
91,3076368,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI VERT BIO BARQUETTE 4 FRUITS,13.3,3.99,,,,,,,,,,,,
91,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,3.99,3.99,,,,,,,,,,,,
91,3081570,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI JAUNE BIO BARQUETTE 3 FRUITS,3.99,3.99,,,,,,,,,,,,
91,2574774,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange salustiana bio filet 1 kg,2.99,2.99,,,,,,,,,,,,
91,937480,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron jaune bio 4 fruits,4.58,2.29,,,,,,,,,,,,
91,1125565,Fruits et légumes,Fruits et légumes bio,Légumes bio,Carotte bio le kilo,2.99,0.21,,,,,,,,,,,,
91,1125577,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette verte bio le kilo,4.99,1.0,,,,,,,,,,,,
91,1125559,Fruits et légumes,Fruits et légumes bio,Légumes bio,Tomate grappe bio le kilo,0.5,0.7,,,,,,,,,,,,
91,2603097,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon jaune bio,3.99,0.48,,,,,,,,,,,,
91,2604348,Fruits et légumes,Fruits et légumes bio,Légumes bio,Ail blanc bio,14.99,2.4,,,,,,,,,,,,
91,1125580,Fruits et légumes,Fruits et légumes bio,Légumes bio,Aubergine bio le kilo,4.99,1.5,,,,,,,,,,,,
91,2317098,Fruits et légumes,Fruits et légumes bio,Légumes bio,Champignon de Paris bio 200g,14.95,2.99,,,,,,,,,,,,
91,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,7.07,1.59,,,,,,,,,,,,
91,1125568,Fruits et légumes,Fruits et légumes bio,Légumes bio,Poireau bio le kilo,3.99,0.56,,,,,,,,,,,,
91,1125574,Fruits et légumes,Fruits et légumes bio,Légumes bio,Poivron bio rouge,4.99,1.05,,,,,,,,,,,,
91,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,3.98,1.99,,,,,,,,,,,,
91,90620,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal saveur échalote traditionnel bio filet 250g,9.96,2.49,,,,,,,,,,,,
91,2450733,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio filet 500g,5.98,2.99,,,,,,,,,,,,
91,1049281,Fruits et légumes,Fruits et légumes bio,Légumes bio,Carotte bio sachet 1kg,4.49,4.49,,,,,,,,,,,,
91,2430630,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal Saveurs ail blanc bio 3 têtes,33.27,4.99,,,,,,,,,,,,
91,2565135,Fruits et légumes,Fruits et légumes bio,Légumes bio,Lentilles vertes bio sachet 500 g,9.98,4.99,,,,,,,,,,,,
91,2450727,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon jaune bio filet 1kg,3.99,3.99,,,,,,,,,,,,
91,1367353,Fruits et légumes,Fruits et légumes bio,Légumes bio,Poivron bio bicolore 2 fruits,6.63,1.99,,,,,,,,,,,,
91,2565138,Fruits et légumes,Fruits et légumes bio,Légumes bio,Lentilles noires beluga bio sachet 500 g,11.18,5.59,,,,,,,,,,,,
91,3089883,Fruits et légumes,Fruits et légumes bio,Légumes bio,POMMES DE TERRE BIO DITTA 1.5KG,2.86,4.29,,,,,,,,,,,,
91,45785,Fruits et légumes,Fruits frais,Fruits de saison,Banane Cavendish,1.09,0.49,,,,,,,,,,,,
91,25982,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos,0.79,0.79,,,,,,,,,,,,
91,123160,Fruits et légumes,Fruits frais,Fruits de saison,Banane cora ruban 6 fruits,2.69,2.69,,,,,,,,,,,,
91,15866,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange à jus 2kg,1.25,2.49,,,,,,,,,,,,
91,18003,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster cora 2kg,1.25,2.49,,,,,,,,,,,,
91,15890,Fruits et légumes,Fruits frais,Fruits de saison,Cora Kido petits agrumes 1kg,2.99,2.99,,,,,,,,,,,,
91,15873,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune cora 4 fruits,2.98,1.49,,,,,,,,,,,,
91,15892,Fruits et légumes,Fruits frais,Fruits de saison,"Cora pomme golden AOP limousin en panier de bois 1,5 kg",2.66,3.99,,,,,,,,,,,,
91,15884,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange sachet 1kg,3.49,3.49,,,,,,,,,,,,
91,23568,Fruits et légumes,Fruits frais,Fruits de saison,Cora pomme golden du Limousin face rosée barquette de 4 fruits,3.69,3.69,,,,,,,,,,,,
