magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/unity [€/u],price [€],nutri-score,Valeur énergétique [kJ],Valeur énergétique [kCal],Matières grasses [g],Dont acides gras saturés [g],Dont acides gras mono-insaturés [g],Glucides [g],Dont sucres [g],Protéines [g],Fibres alimentaires [g],Sel [g],Sodium [mg]
72,2360265,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron primofiori bio filet 1kg,4.29,4.29,,,,,,,,,,,,
72,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,5.98,2.99,,,,,,,,,,,,
72,2337957,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.32,2.49,,,,,,,,,,,,
72,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
72,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,3.69,3.69,,,,,,,,,,,,
72,2509617,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme crunch bio barquette 6 fruits,4.92,3.69,,,,,,,,,,,,
72,3062316,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio barquette 6 fruits,3.99,3.99,,,,,,,,,,,,
72,2548326,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme cripps pink lady bio barquette 4 fruits,6.65,3.99,,,,,,,,,,,,
72,3060657,Fruits et légumes,Fruits et légumes bio,Fruits bio,POMELOS BIO FILET 2 FRUITS,4.58,2.29,,,,,,,,,,,,
72,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,3.49,3.49,,,,,,,,,,,,
72,2509614,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme crunch bio sachet 1.5kg,2.99,4.49,,,,,,,,,,,,
72,2338746,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
72,1371457,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme Canada bio 4 fruits,3.59,3.59,,,,,,,,,,,,
72,3058716,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINES RUBI BIO FILET 1KG,5.29,5.29,,,,,,,,,,,,
72,2574774,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange salustiana bio filet 1 kg,3.99,3.99,,,,,,,,,,,,
72,2450736,Fruits et légumes,Fruits et légumes bio,Fruits bio,Kiwi Sungold bio barquette 2 fruits,4.99,4.99,,,,,,,,,,,,
72,15896,Fruits et légumes,Fruits et légumes bio,Légumes bio,Pomme de terre bio cora 1.5 kg,2.86,4.29,,,,,,,,,,,,
72,3053085,Fruits et légumes,Fruits et légumes bio,Légumes bio,COURGE POTIMARRON BIO,4.36,3.49,,,,,,,,,,,,
72,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,7.07,1.59,,,,,,,,,,,,
72,2784444,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette bio filet 500g,7.58,3.79,,,,,,,,,,,,
72,2582112,Fruits et légumes,Fruits et légumes bio,Légumes bio,Concombre bio,2.09,2.09,,,,,,,,,,,,
72,2430630,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal Saveurs ail blanc bio 3 têtes,32.6,4.89,,,,,,,,,,,,
72,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,3.38,1.69,,,,,,,,,,,,
72,2784231,Fruits et légumes,Fruits et légumes bio,Légumes bio,CAROTTE BIO SACHET 1.5 KG,2.86,4.29,,,,,,,,,,,,
72,1319659,Fruits et légumes,Fruits et légumes bio,Légumes bio,Tomate grappe bio barquette 600g,7.15,4.29,,,,,,,,,,,,
72,987202,Fruits et légumes,Fruits et légumes bio,Légumes bio,Carotte bio sachet 1kg,2.69,2.69,,,,,,,,,,,,
72,90620,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal saveur échalote traditionnel bio filet 250g,9.96,2.49,,,,,,,,,,,,
72,3022845,Fruits et légumes,Fruits et légumes bio,Légumes bio,POIREAU BIO BOTTE 750G,5.32,3.99,,,,,,,,,,,,
72,1022743,Fruits et légumes,Fruits et légumes bio,Légumes bio,Mais bio doux barquette 2 épis,9.73,3.89,,,,,,,,,,,,
72,2915754,Fruits et légumes,Fruits et légumes bio,Légumes bio,Aubergine noir longue 500g,5.38,2.69,,,,,,,,,,,,
72,2574453,Fruits et légumes,Fruits et légumes bio,Légumes bio,Boulgour bio sachet 500g,7.98,3.99,,,,,,,,,,,,
72,1367317,Fruits et légumes,Fruits et légumes bio,Légumes bio,Salade bio batavia,8.97,2.69,,,,,,,,,,,,
72,2565138,Fruits et légumes,Fruits et légumes bio,Légumes bio,Lentilles noires beluga bio sachet 500 g,11.98,5.99,,,,,,,,,,,,
72,2336280,Fruits et légumes,Fruits et légumes bio,Légumes bio,Endive bio 4 jeunes pousses,24.95,4.99,,,,,,,,,,,,
72,849526,Fruits et légumes,Fruits et légumes bio,Légumes bio,Croq Radis bio sachet 250g,9.16,2.29,,,,,,,,,,,,
72,45785,Fruits et légumes,Fruits frais,Fruits de saison,Banane Cavendish,2.29,2.29,,,,,,,,,,,,
72,123160,Fruits et légumes,Fruits frais,Fruits de saison,Banane cora ruban 6 fruits,2.69,2.69,,,,,,,,,,,,
72,18003,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster cora 2kg,2.15,4.29,,,,,,,,,,,,
72,15866,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange à jus 2kg,1.6,3.19,,,,,,,,,,,,
72,15892,Fruits et légumes,Fruits frais,Fruits de saison,"Cora pomme golden AOP limousin en panier de bois 1,5 kg",2.66,3.99,,,,,,,,,,,,
72,15890,Fruits et légumes,Fruits frais,Fruits de saison,Cora Kido petits agrumes 1kg,3.59,3.59,,,,,,,,,,,,
72,15884,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange sachet 1kg,3.49,3.49,,,,,,,,,,,,
72,23568,Fruits et légumes,Fruits frais,Fruits de saison,Cora pomme golden du Limousin face rosée barquette de 4 fruits,3.69,3.69,,,,,,,,,,,,
72,535549,Fruits et légumes,Fruits frais,Fruits de saison,Cora Clémentine Pitufo 2.3kg,2.17,4.99,,,,,,,,,,,,
72,302698,Fruits et légumes,Fruits frais,Fruits de saison,Cora dégustation kiwi barquette de 4 fruits,4.29,4.29,,,,,,,,,,,,
72,2603271,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune,3.49,0.59,,,,,,,,,,,,
72,68309,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi gold,0.99,0.99,,,,,,,,,,,,
72,49291,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala,1.49,0.24,,,,,,,,,,,,
72,49361,Fruits et légumes,Fruits frais,Fruits de saison,Pomme golden le kilo,3.29,0.66,,,,,,,,,,,,
72,89686,Fruits et légumes,Fruits frais,Fruits de saison,Clémentine,1.99,1.39,,,,,,,,,,,,
72,25981,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi vert vrac,0.99,0.99,,,,,,,,,,,,
72,301759,Fruits et légumes,Fruits frais,Fruits de saison,Citron vert VRAC,4.99,0.85,,,,,,,,,,,,
72,2600880,Fruits et légumes,Fruits frais,Fruits de saison,Poire Conférence,3.99,1.52,,,,,,,,,,,,
72,49293,Fruits et légumes,Fruits frais,Fruits de saison,Pomme pink lady,3.69,0.74,,,,,,,,,,,,
72,25982,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos,0.99,0.99,,,,,,,,,,,,
72,944929,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster,2.49,1.49,,,,,,,,,,,,
72,50014,Fruits et légumes,Fruits frais,Fruits de saison,Poire Rochas,3.99,2.15,,,,,,,,,,,,
72,1106977,Fruits et légumes,Fruits frais,Fruits de saison,Clementine feuille,3.99,0.28,,,,,,,,,,,,
72,1349011,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala sachet 1.5kg,2.33,3.49,,,,,,,,,,,,
72,49295,Fruits et légumes,Fruits frais,Fruits de saison,Pomme fuji,2.99,0.51,,,,,,,,,,,,
72,49297,Fruits et légumes,Fruits frais,Fruits de saison,Pomme canada grise,2.99,1.52,,,,,,,,,,,,
72,1140391,Fruits et légumes,Fruits frais,Fruits de saison,Poire rochas barquette 4 fruits stickés,2.49,2.49,,,,,,,,,,,,
72,982534,Fruits et légumes,Fruits frais,Fruits de saison,Pomme bio barquette 4 fruits,5.98,2.99,,,,,,,,,,,,
72,548401,Fruits et légumes,Fruits frais,Fruits de saison,Mandarine Clémenvilla,2.99,2.99,,,,,,,,,,,,
72,990892,Fruits et légumes,Fruits frais,Fruits de saison,"Pomme Golden 1,5kg",2.33,3.49,,,,,,,,,,,,
72,99720,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos chinois la pièce,3.29,3.29,,,,,,,,,,,,
72,102092,Fruits et légumes,Fruits frais,Fruits de saison,Pomme granny,2.99,1.7,,,,,,,,,,,,
72,911245,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Antares,3.49,0.42,,,,,,,,,,,,
72,1242556,Fruits et légumes,Fruits frais,Fruits de saison,Poire sweet sensation le kilo,4.29,0.77,,,,,,,,,,,,
72,49296,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Red Chief,2.99,0.51,,,,,,,,,,,,
72,45787,Fruits et légumes,Fruits frais,Fruits de saison,Pomme boscoop,2.99,0.54,,,,,,,,,,,,
72,115044,Fruits et légumes,Fruits frais,Fruits de saison,Poire comice,4.49,2.29,,,,,,,,,,,,
72,944197,Fruits et légumes,Fruits frais,Fruits de saison,Orange bio a déguster 800g,3.69,3.69,,,,,,,,,,,,
72,1113079,Fruits et légumes,Fruits frais,Fruits de saison,Citron 1kg +20%,1.66,1.99,,,,,,,,,,,,
72,750853,Fruits et légumes,Fruits frais,Fruits de saison,Pomme skyfresh,1.99,1.01,,,,,,,,,,,,
72,1139038,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune filet 500g,2.98,1.49,,,,,,,,,,,,
72,687793,Fruits et légumes,Fruits frais,Fruits de saison,Pomme gala sachet 2kg,1.5,2.99,,,,,,,,,,,,
72,1245577,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos vert pièce,1.79,1.79,,,,,,,,,,,,
72,305293,Fruits et légumes,Fruits frais,Fruits de saison,Pomme barquette 4 fruits,2.15,0.99,,,,,,,,,,,,
72,2603271,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune,3.49,0.59,,,,,,,,,,,,
72,89686,Fruits et légumes,Fruits frais,Oranges et agrumes,Clémentine,1.99,1.39,,,,,,,,,,,,
72,18003,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange à déguster cora 2kg,2.15,4.29,,,,,,,,,,,,
72,15866,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora orange à jus 2kg,1.6,3.19,,,,,,,,,,,,
72,2861457,Fruits et légumes,Fruits frais,Oranges et agrumes,CLEMENTINE CORA PITUFO 2.3KG,2.6,5.99,,,,,,,,,,,,
72,15890,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora Kido petits agrumes 1kg,3.59,3.59,,,,,,,,,,,,
72,15884,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora orange sachet 1kg,3.49,3.49,,,,,,,,,,,,
72,535549,Fruits et légumes,Fruits frais,Oranges et agrumes,Cora Clémentine Pitufo 2.3kg,2.17,4.99,,,,,,,,,,,,
72,25982,Fruits et légumes,Fruits frais,Oranges et agrumes,Pomelos,0.99,0.99,,,,,,,,,,,,
72,944929,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange à déguster,2.49,1.49,,,,,,,,,,,,
72,1106977,Fruits et légumes,Fruits frais,Oranges et agrumes,Clementine feuille,3.99,0.28,,,,,,,,,,,,
72,2360265,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron primofiori bio filet 1kg,4.29,4.29,,,,,,,,,,,,
72,548401,Fruits et légumes,Fruits frais,Oranges et agrumes,Mandarine Clémenvilla,2.99,2.99,,,,,,,,,,,,
72,99720,Fruits et légumes,Fruits frais,Oranges et agrumes,Pomelos chinois la pièce,3.29,3.29,,,,,,,,,,,,
72,2755677,Fruits et légumes,Fruits frais,Oranges et agrumes,CLEMENTINE ORONULES GIRSAC 1KG,2.49,2.49,,,,,,,,,,,,
72,1192636,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange a jus le kilo,2.29,0.69,,,,,,,,,,,,
72,944197,Fruits et légumes,Fruits frais,Oranges et agrumes,Orange bio a déguster 800g,3.69,3.69,,,,,,,,,,,,
72,1113079,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron 1kg +20%,1.66,1.99,,,,,,,,,,,,
72,2589639,Fruits et légumes,Fruits frais,Oranges et agrumes,Clemenvilla filet 1kg,1.69,1.69,,,,,,,,,,,,
72,3060657,Fruits et légumes,Fruits frais,Oranges et agrumes,POMELOS BIO FILET 2 FRUITS,4.58,2.29,,,,,,,,,,,,
72,3060654,Fruits et légumes,Fruits frais,Oranges et agrumes,ORANGE A DEGUSTER BIO FILET 1 KG,3.49,3.49,,,,,,,,,,,,
72,1139038,Fruits et légumes,Fruits frais,Oranges et agrumes,Citron jaune filet 500g,2.98,1.49,,,,,,,,,,,,
72,2693577,Fruits et légumes,Fruits frais,Oranges et agrumes,Pomelos star ruby filet 3 fruits,2.49,2.49,,,,,,,,,,,,
72,3058716,Fruits et légumes,Fruits frais,Oranges et agrumes,CLEMENTINES RUBI BIO FILET 1KG,5.29,5.29,,,,,,,,,,,,
72,1126369,Fruits et légumes,Fruits frais,Oranges et agrumes,Mineolas,3.99,0.4,,,,,,,,,,,,
