magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/unity [€/u],price [€],nutri-score,Valeur énergétique [kJ],Valeur énergétique [kCal],Matières grasses [g],Dont acides gras saturés [g],Dont acides gras mono-insaturés [g],Glucides [g],Dont sucres [g],Protéines [g],Fibres alimentaires [g],Sel [g],Sodium [mg]
74,2338746,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
74,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,5.98,2.99,,,,,,,,,,,,
74,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,2.99,2.99,,,,,,,,,,,,
74,2563437,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE FEUILLE BIO 1KG,5.99,5.99,,,,,,,,,,,,
74,2360265,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron primofiori bio filet 1kg,3.99,3.99,,,,,,,,,,,,
74,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,3.99,3.99,,,,,,,,,,,,
74,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,3.49,3.49,,,,,,,,,,,,
74,960493,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme granny bio barquette 4 fruits,7.48,2.99,,,,,,,,,,,,
74,2337957,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
74,2548326,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme cripps pink lady bio barquette 4 fruits,6.65,3.99,,,,,,,,,,,,
74,2450736,Fruits et légumes,Fruits et légumes bio,Fruits bio,Kiwi Sungold bio barquette 2 fruits,4.99,4.99,,,,,,,,,,,,
74,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,3.49,3.49,,,,,,,,,,,,
74,3047223,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A JUS BIO VALENCIA LATE FILET 4 FRUITS,7.98,3.99,,,,,,,,,,,,
74,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
74,937480,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron jaune bio 4 fruits,4.58,2.29,,,,,,,,,,,,
